Floor_Area,Floor_Number,ofPeople_service,ofPeople_living,ofPeople_bedroom,Construction_recorded,schedule_recorded,Window_Count,w_north,w_north-east,w_east,w_south-east,w_south,w_south-west,w_west,w_north-west,total_window_area,o_north,o_north-east,o_east,o_south-east,o_south,o_south-west,o_west,o_north-west,Cooling,Heating,Lighting,Equipment
84.12,5,0.086,0.086,0.043,1,2,3,0,0,0,0,1,0,1,0,11.83,1,0,0,0,0,0,0,1,46.5,44.3,7.06,2.38
79.6,2,0.065,0.065,0.033,0,1,3,1,0,0,0,0,0,1,0,9.67,0,0,0,0,0,0,0,0,30,36.09,7.93,2.38
89.13,1,0.154,0.154,0.154,0,0,4,0,0,0,0,0,1,0,1,9.3,0,0,0,1,0,0,0,0,31.03,28.24,6.08,1.59
90.5,3,0.065,0.065,0.032,0,1,5,0,1,0,1,0,1,0,0,14,1,0,0,0,0,0,0,1,25.1,43.16,7.14,2.38
92.42,5,0.08,0.08,0.04,0,2,3,1,0,0,0,0,0,1,0,9.05,0,0,0,0,1,0,0,0,36.32,47.12,6.98,2.38
97.61,4,0.119,0.119,0.059,1,2,4,0,1,0,0,0,0,0,1,9.86,1,0,0,0,0,0,1,1,29.69,19.2,8.48,2.38
75.85,4,0.022,0.022,0.022,0,1,4,0,1,0,0,0,0,0,1,14.38,0,0,0,1,0,0,1,1,18.21,23.11,5.96,1.59
116.14,2,0.189,0.189,0.094,0,0,4,1,1,0,1,0,0,0,0,9.69,1,0,0,0,0,0,0,0,20.85,37.3,7.4,2.38
85.84,1,0.023,0.023,0.023,0,0,4,0,1,0,1,0,0,0,0,14.01,0,0,0,0,0,0,0,0,7.14,27.27,10.11,1.59
86.03,3,0.172,0.172,0.086,0,0,3,0,0,0,0,0,1,0,1,10.08,0,0,0,0,0,0,0,0,36,24.14,7.56,2.38
54.55,4,0.096,0.096,0.048,0,0,3,0,0,0,1,0,1,0,0,13.51,1,0,0,1,0,1,1,0,45.45,30.25,7.03,2.38
178.89,6,0.13,0.13,0.065,1,2,3,0,1,0,1,0,0,0,0,10.37,0,0,0,0,0,0,0,0,49.49,59.25,7.06,2.38
49.4,1,0.031,0.031,0.031,0,1,7,0,1,0,0,0,1,0,1,16.72,0,0,0,1,0,0,0,0,24.95,32.41,6.44,1.59
