Floor Area,Floor Number,#ofPeople,Construction_recorded,schedule_recorded,Window Count,w_north,w_east,w_south,w_west,total_window_area,o_north,o_north-east,o_east,o_south-east,o_south,o_south-west,o_west,o_north-west,Building Type,Heating,Lighting,Equipment
121.262582,0,0.008247,0,3,3,1,0,1,1,23.48,0,0,0,0,0,0,0,0,0,56.35,17.41,5.76
77.285618,1,0.025878,1,0,2,0,1,1,0,13.19,0,0,0,0,0,0,0,1,1,54.3,16.88,5.76
77.75854,1,0.01286,0,2,2,1,1,0,0,13.84,0,0,0,0,0,0,0,0,1,114.95,17.22,5.76
109.958751,0,0.018189,1,3,2,1,1,0,0,16.11,0,0,0,0,1,1,0,0,0,26.4,17.56,5.76
98.575513,1,0.010145,0,1,2,1,1,0,0,15.3,0,0,0,0,0,0,1,0,1,95.09,17.13,5.76
116.09126,2,0.025842,0,0,3,1,1,1,0,22.91,0,0,0,0,0,0,0,0,1,77.82,16.22,5.76
87.760218,2,0.022789,1,0,2,1,0,0,1,14.71,1,0,0,0,0,0,1,0,1,50.13,15.6,5.76
100.818338,0,0.049594,0,3,2,0,1,1,0,15.41,0,0,0,1,0,0,0,0,0,52.39,17.87,5.76
188.470126,2,0.015918,0,0,2,0,1,1,0,20.84,0,1,0,1,0,1,0,1,1,56.68,15.97,5.76
94.463445,0,0.031758,0,3,2,0,1,1,0,15.15,0,0,0,0,0,0,0,0,0,57.42,17.99,5.76
73.03114,0,0.041078,0,3,2,0,0,1,1,13.8,0,0,0,0,0,0,0,0,0,66.34,17.77,5.76
84.39624,1,0.011849,0,2,2,1,0,0,1,14.26,0,0,0,0,0,0,0,0,1,105.82,16.05,5.76
70.266182,1,0.014232,0,2,2,0,1,1,0,12.6,1,1,0,0,0,1,1,1,1,120.76,17.15,5.76
80.275171,2,0.062286,0,0,3,1,0,1,1,19.2,0,0,0,1,1,1,0,0,1,75.36,15.44,5.76
127.556106,2,0.039198,0,0,3,1,1,1,0,23.99,0,0,1,0,0,0,0,0,1,67.44,16.41,5.76
110.696791,1,0.027101,0,0,2,1,0,0,1,15.96,0,0,0,1,1,0,0,1,1,68.2,16.77,5.76
67.993412,0,0.029415,1,3,2,1,1,0,0,12.47,0,0,0,0,0,0,0,0,0,30.84,19.36,5.76
110.696791,2,0.018067,1,0,2,1,0,0,1,15.96,0,0,0,1,1,0,0,1,1,47.39,15.73,5.76
67.129728,0,0.014897,0,3,2,0,0,1,1,13.45,0,0,1,0,1,0,0,0,0,72.99,17.88,5.76
81.992443,2,0.024392,1,0,2,0,0,1,1,14.43,0,0,1,0,0,0,0,0,1,48.48,15.52,5.76
69.125579,1,0.028933,1,0,2,1,1,0,0,13.6,0,0,0,1,0,0,0,0,1,54.32,16.29,5.76
84.711093,2,0.059024,0,0,2,1,0,0,1,13.88,0,0,0,0,0,1,1,0,1,69.45,15.58,5.76
112.523334,0,0.026661,0,3,3,1,0,1,1,23.59,1,1,1,0,0,0,0,1,0,48.87,16.07,5.76
95.081895,2,0.010517,0,1,2,0,1,1,0,15.07,0,0,0,0,0,0,1,0,1,95.44,15.72,5.76
96.839169,1,0.051632,0,0,2,1,1,0,0,14.95,0,0,0,1,0,0,0,0,1,66.49,16.94,5.76
108.53439,0,0.027641,0,3,2,1,0,0,1,15.82,0,0,0,1,1,0,0,0,0,52.53,19.2,5.76
109.842378,0,0.009104,0,3,2,1,1,0,0,15.88,1,0,0,0,0,0,0,0,0,52.7,18.35,5.76
100.363736,0,0.009964,0,3,2,1,1,0,0,15.54,0,0,0,0,0,0,0,0,0,49.93,18.77,5.76
81.469355,2,0.036824,0,0,2,1,1,0,0,13.97,0,0,0,0,1,0,0,1,1,77.41,15.72,5.76
132.253072,2,0.007561,0,2,2,0,1,1,0,18.41,0,0,0,0,1,0,0,0,1,102.53,17.29,5.76
115.176135,1,0.008682,0,2,2,0,0,1,1,16.16,0,0,0,1,1,0,0,0,1,87.74,16.03,5.76
103.563377,0,0.019312,0,3,2,0,0,1,1,15.46,0,0,0,1,1,1,1,0,0,44.24,17.02,5.76
91.186713,1,0.010967,0,2,2,1,0,0,1,14.82,1,0,1,0,0,0,0,1,1,102.91,16.46,5.76
111.178903,2,0.026984,0,0,3,1,0,1,1,22.74,0,0,0,0,0,0,0,0,1,75.78,15.87,5.76
132.024608,0,0.022723,0,3,2,1,1,0,0,17.37,0,0,0,0,0,0,0,1,0,44.84,18.02,5.76
74.461759,1,0.040289,0,0,2,0,0,1,1,13.73,1,0,0,0,0,0,0,0,1,80.82,16.49,5.76
92.011288,0,0.032605,0,3,2,0,0,1,1,14.46,0,0,0,0,0,0,0,1,0,54.22,17.16,5.76
74.192962,0,0.013478,0,3,2,1,1,0,0,13.28,0,0,1,0,0,0,0,0,0,59.18,17.21,5.76
86.276677,0,0.011591,0,3,2,1,1,0,0,14.43,0,0,0,0,0,1,0,0,0,54.07,17.74,5.76
72.003007,2,0.041665,0,2,2,0,0,1,1,13.79,0,0,0,0,1,0,0,0,1,120.59,15.51,5.76
153.463865,1,0.019549,0,2,2,0,1,1,0,19.31,0,0,0,0,0,1,1,1,1,95.37,17.43,5.76
83.752575,2,0.01194,0,1,2,0,0,1,1,14.34,1,0,0,0,0,0,0,0,1,100.97,15.54,5.76
83.907272,1,0.05959,0,0,2,0,0,1,1,14.54,1,0,0,0,0,0,0,1,1,77.3,17.57,5.76
87.760218,0,0.011395,0,3,2,1,0,0,1,14.71,1,0,0,0,0,0,1,0,0,56.46,17.42,5.76
90.707581,1,0.033073,0,0,2,1,0,0,1,14.64,0,0,1,0,0,1,0,0,1,71.09,15.66,5.76
97.671866,1,0.020477,0,1,2,1,0,0,1,15.22,1,0,0,0,0,0,0,0,1,95.1,17.06,5.76
99.649591,1,0.010035,0,2,2,1,0,0,1,15.56,1,0,0,0,0,0,0,0,1,100.45,16.76,5.76
